City,Temperature (DegC),Cloudiness (%),Latitude,Longitude,Humidity (%),Wind Speed (mps)
Hermanus,10.0,0,-34.42,19.23,94,2.47
Lüderitz,18.0,0,-26.65,15.16,23,2.1
Kruisfontein,10.77,0,-34.0,24.73,79,2.78
Cape Town,10.58,0,-33.93,18.42,100,2.6
Barrow,3.0,90,71.29,-156.79,74,5.7
Wang Saphung,25.0,40,17.3,101.77,100,1.0
Tasiilaq,7.0,13,65.61,-37.64,75,2.1
Ushuaia,0.0,75,-54.8,-68.3,95,2.6
Albany,26.65,43,42.6,-73.97,59,1.51
Punta Arenas,0.78,99,-53.15,-70.92,80,6.2
Bermejo,13.0,69,-32.88,-68.8,62,2.1
Micheweni,24.98,30,-4.97,39.83,70,8.28
Rikitea,21.92,37,-23.12,-134.97,80,6.97
Hong Kong,30.57,79,22.29,114.16,70,4.47
Thompson,22.0,75,55.74,-97.86,40,5.1
Anadyr,13.94,40,64.75,177.48,54,8.0
Provideniya,9.29,77,64.38,-173.3,67,2.35
Carnarvon,11.0,0,-24.87,113.63,87,6.2
Palmerston North,14.28,88,-40.35,175.62,79,1.79
Scottsbluff,30.61,1,41.87,-103.67,31,5.7
Kapaa,29.76,1,22.08,-159.32,74,5.1
Rawson,7.73,92,-43.3,-65.1,81,4.82
Shihezi,29.53,100,44.3,86.03,28,3.5
Busselton,10.22,72,-33.65,115.33,80,1.7
Corrales,34.06,39,35.24,-106.61,18,4.6
Hilo,25.92,90,19.73,-155.09,66,3.6
Saint-Pierre,14.15,75,-21.34,55.48,72,6.2
Moïssala,21.79,100,8.34,17.77,95,1.47
Hithadhoo,28.37,100,-0.6,73.08,70,9.22
Inongo,20.36,47,-1.95,18.27,76,0.93
Geraldton,9.0,40,-28.77,114.6,93,4.1
Butaritari,28.21,7,3.07,172.79,77,5.84
Bengkulu,23.93,72,-3.8,102.27,87,2.04
Hobart,11.41,20,-42.88,147.33,71,2.6
Lompoc,20.6,3,34.64,-120.46,56,6.2
Isangel,23.0,20,-19.55,169.27,64,3.6
Mar del Plata,9.46,90,-38.0,-57.56,100,2.42
Posse,18.53,0,-14.09,-46.37,58,3.51
Sindor,13.04,10,62.86,51.89,91,1.65
Zliv,13.89,95,49.07,14.37,95,1.2
Zhigalovo,10.2,95,54.81,105.16,86,1.77
Mayumba,21.0,16,-3.43,10.66,92,1.2
Straumen,12.96,100,63.87,11.3,87,1.5
Pacific Grove,20.85,1,36.62,-121.92,56,5.1
Bluff,3.89,0,-46.6,168.33,83,1.34
Olbernhau,14.07,19,50.67,13.33,91,0.68
New Norfolk,10.44,48,-42.78,147.06,79,0.89
Ol'ga,23.86,0,43.74,135.29,56,0.43
Olafsvik,8.3,31,64.89,-23.71,83,5.52
Saint Paul Harbor,17.0,90,57.79,-152.41,67,3.6
Saint Paul Harbor,17.0,90,57.79,-152.41,67,3.6
Airai,18.37,58,-8.93,125.41,47,1.32
Atuona,26.13,54,-9.8,-139.03,80,6.87
Luangwa,13.09,19,-15.62,30.42,81,1.32
Port Alfred,15.71,0,-33.59,26.89,75,5.01
Flin Flon,18.0,90,54.77,-101.86,88,3.1
Mareeba,20.47,50,-17.0,145.43,66,1.34
Veliki Trnovac,15.0,27,42.48,21.74,93,0.38
Castro,14.65,5,-24.79,-50.01,91,1.69
Mataura,3.89,0,-46.19,168.86,83,1.34
Coquimbo,12.0,90,-29.95,-71.34,87,1.0
Abhā,21.46,97,18.22,42.51,43,4.85
Kautokeino,9.52,52,69.01,23.04,92,3.18
‘Ewa Beach,31.82,40,21.32,-158.01,49,3.6
Cayenne,25.0,99,4.93,-52.33,100,4.15
Charters Towers,17.78,70,-20.1,146.27,60,3.46
São Filipe,24.79,36,14.9,-24.5,75,4.06
Belaya Gora,18.63,8,68.53,146.42,48,6.85
Yellowknife,21.56,20,62.46,-114.35,49,4.6
Quibor,28.0,69,9.93,-69.62,65,6.7
Kismayo,24.93,41,-0.36,42.55,77,8.46
Sechura,17.92,7,-5.56,-80.82,77,7.52
Faanui,24.04,95,-16.48,-151.75,84,8.76
Marfino,16.3,8,55.7,37.38,82,1.0
Kendari,24.94,19,-3.94,122.5,87,1.08
Nokaneng,9.39,0,-19.67,22.27,49,2.87
Vaini,26.0,75,-21.2,-175.2,88,6.7
Grindavik,9.0,75,63.84,-22.43,76,8.2
Avarua,24.0,72,-21.21,-159.78,69,5.1
Nara,28.98,40,34.69,135.8,69,0.5
Padang,25.0,75,-0.95,100.35,88,1.5
Port Elizabeth,14.0,0,-33.92,25.57,76,6.2
Cabo San Lucas,32.41,5,22.89,-109.91,43,5.1
Puerto Ayora,20.56,92,-0.74,-90.35,93,2.24
Fare,24.2,94,-16.7,-151.02,82,9.34
George Town,24.93,20,5.41,100.34,94,2.24
San Jerónimo,10.64,7,-11.95,-75.28,59,2.3
Hammerfest,11.0,61,70.66,23.68,76,4.1
Petropavlovsk-Kamchatskiy,22.0,92,53.05,158.65,53,3.0
Ahipara,16.16,100,-35.17,173.17,85,5.95
Dikson,4.21,100,73.51,80.55,94,2.81
Okhotsk,15.18,98,59.38,143.3,84,1.12
Lavrentiya,10.87,90,65.58,-171.0,64,3.75
Kavaratti,28.14,98,10.57,72.64,77,9.03
Bastrop,31.5,1,32.76,-91.87,70,2.47
Tuktoyaktuk,6.0,90,69.45,-133.04,87,5.1
Japura,23.44,44,-0.32,102.35,95,0.44
Novosheshminsk,17.07,100,55.07,51.23,95,2.1
East London,17.16,0,-33.02,27.91,54,4.33
Vanimo,27.07,97,-2.67,141.3,81,2.9
Ngunguru,15.0,100,-35.62,174.5,3,4.02
Ngunguru,15.0,100,-35.62,174.5,3,4.02
Abu Samrah,19.66,0,35.3,37.18,53,2.39
Puerto Escondido,30.0,5,15.85,-97.07,66,3.1
San Bernardo,12.0,75,-33.6,-70.72,87,2.6
Katsuura,23.27,75,35.13,140.3,94,4.1
Nikolskoye,14.93,100,59.7,30.79,71,2.0
Solnechnyy,23.6,75,50.72,136.63,88,1.37
Meulaboh,25.12,90,4.14,96.13,83,1.77
Kaitangata,6.67,1,-46.28,169.85,69,2.68
Jamestown,26.51,1,42.1,-79.24,61,1.5
Ankazoabo,12.92,0,-22.28,44.52,74,2.83
Tromsø,12.0,33,69.65,18.96,76,5.7
Kirkenær,15.32,75,60.46,12.06,93,6.2
San Patricio,30.0,40,19.22,-104.7,74,10.3
Bredasdorp,12.0,1,-34.53,20.04,93,1.5
Upernavik,8.8,0,72.79,-56.15,55,2.62
Cidreira,18.57,0,-30.18,-50.21,88,4.28
São João da Barra,20.8,1,-21.64,-41.05,72,3.61
Khatanga,9.49,99,71.97,102.5,73,2.14
Jalingo,22.98,88,8.88,11.37,87,1.39
Ola,16.95,4,59.58,151.28,51,1.92
Chui,17.88,70,-33.7,-53.46,92,2.83
Cherskiy,19.43,0,68.75,161.3,54,2.79
Regeneração,25.63,61,-6.24,-42.69,50,2.8
Kinablangan,28.05,91,7.69,126.55,73,1.04
Buin,12.0,75,-33.73,-70.75,87,2.6
Faya,21.5,99,18.39,42.45,43,3.77
Portland,28.56,1,45.52,-122.68,37,6.7
Tiksi,9.87,100,71.69,128.87,99,3.84
Comodoro Rivadavia,5.0,75,-45.87,-67.5,100,4.48
Atemar,14.4,100,54.18,45.41,95,2.03
Forsytheganj,13.39,0,52.63,29.73,83,1.42
Central Point,34.84,1,42.38,-122.92,26,5.7
Basco,29.24,51,20.45,121.97,81,6.7
Jumla,18.25,99,29.27,82.18,74,1.14
Egvekinot,9.72,37,66.32,-179.17,60,2.85
Coron,28.56,100,12.0,120.2,78,2.76
Kysyl-Syr,19.27,96,63.9,122.76,64,2.06
Belomorsk,15.15,50,64.52,34.77,80,2.51
Abū Zabad,25.88,78,12.35,29.25,68,7.22
Beian,12.53,75,63.66,9.57,82,2.1
Hastings,15.85,54,50.86,0.57,95,0.89
Alyangula,19.0,1,-13.85,136.42,100,3.79
Narsaq,12.0,56,60.92,-46.05,50,2.6
Chokurdakh,15.04,0,70.63,147.92,40,5.95
Statesboro,31.57,1,32.45,-81.78,55,2.1
Rio Grande,20.56,66,-32.03,-52.1,80,4.45
Bulolo,24.47,100,-7.2,146.65,70,1.02
Makat,27.47,42,47.65,53.35,44,7.82
Bambous Virieux,19.74,40,-20.34,57.76,77,5.7
Mount Gambier,10.0,75,-37.83,140.77,93,8.7
Mount Gambier,10.0,75,-37.83,140.77,93,8.7
Atar,36.16,28,20.52,-13.05,21,4.44
Luwuk,26.7,29,-0.95,122.79,74,2.7
Digby,17.22,41,44.62,-65.77,90,3.13
Naze,28.98,75,28.37,129.48,88,8.2
Alofi,27.0,81,-19.06,-169.92,65,6.7
Tamworth,12.52,90,52.63,-1.7,93,3.6
Pahlgām,14.04,12,34.03,75.33,67,1.11
Qaanaaq,9.4,91,77.48,-69.36,67,0.96
Asău,18.22,99,46.43,26.4,82,1.57
Nemuro,19.0,75,43.32,145.57,82,1.0
Kahului,28.57,40,20.89,-156.47,49,11.3
Mocuba,15.42,8,-16.84,36.99,97,0.48
Stawell,9.14,36,-37.05,142.77,78,7.06
Mahébourg,20.0,40,-20.41,57.7,77,5.7
Progreso,30.77,75,21.28,-89.67,58,6.2
Esperance,9.0,90,-33.87,121.9,100,0.5
Tucuruí,24.21,43,-3.77,-49.67,68,1.02
Camopi,22.95,94,3.17,-52.32,97,1.03
Cockburn Town,28.66,2,21.46,-71.14,76,7.71
Talnakh,11.0,42,69.49,88.4,87,4.0
Kavieng,28.54,94,-2.57,150.8,73,3.07
São Lourenço do Sul,20.56,50,-31.37,-51.98,80,3.56
Auki,29.36,34,-8.77,160.7,64,1.21
Lebu,11.49,100,-37.62,-73.65,89,6.44
Komsomol'skoye,14.62,100,55.26,47.55,92,3.1
Yaan,22.35,52,7.38,8.57,89,2.09
Port Macquarie,14.44,34,-31.43,152.92,84,1.83
Roald,12.7,6,62.58,6.13,67,4.6
Phan Thiet,26.37,89,10.93,108.1,81,1.81
Rush,9.99,40,53.52,-6.09,87,3.6
Burē,13.86,100,10.7,37.07,95,0.7
Te Anau,7.55,0,-45.42,167.72,57,0.28
Severo-Kuril'sk,12.3,62,50.68,156.12,82,5.38
Stornoway,10.23,96,58.21,-6.39,87,3.6
Wasilla,19.48,90,61.58,-149.44,63,1.5
Kununurra,22.0,10,-15.77,128.73,20,2.1
Narasannapeta,27.26,98,18.42,84.05,87,1.86
Cap-aux-Meules,16.0,20,47.38,-61.86,87,3.6
Qasigiannguit,12.0,100,68.82,-51.19,46,2.1
Deputatsky,14.15,88,69.3,139.9,49,5.44
Porto-Novo,24.44,99,6.5,2.6,84,3.49
Bethel,25.48,1,41.37,-73.41,65,0.84
Santa Marta,30.0,29,11.24,-74.2,73,6.14
Lesnoye,10.77,2,58.28,35.52,69,1.84
